,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT
AET,0.955385956429933,0.8287883912287874,0.9032104198183465,0.9568531011873186,0.9392328297698321,0.6230710993326736,0.9603659339958278,0.7152195133866586,0.25374235238837617,-0.5764807600615468,1.0,-0.050344795813917945,0.8587716976242845,0.3915285820321853,0.8413320523502452,0.33019678970644256,0.7927965518944284,0.745968518315273,0.9344024082356135,-0.0029789785044013833,0.8862417356505026,0.9440524781998242,0.3715509730940398,0.19138386047449177,0.8918351098802477,0.9426995900860096,0.9296148442262177,0.8993416280371573,0.8793276288279736,0.9279569514664439,0.9065280808854823,0.7448402289851187,0.8961893037264593,0.17948556139396182,0.8120725934022708,0.9280983446693619,0.9081048053210754,0.721145838005261,0.5909710372071619,0.8082609057091013,0.8705568092702551,0.9628212704908675,-0.7243301328122954,0.9307004736254384,0.8486403695335502,0.8893939387394363,0.9681128347636503,0.9550017971316062,0.9567514060611203,-0.781767904306148,0.852233024880946,0.9337001044565738,0.8626732682618965,0.8083749972880754,0.21518129769861008,-0.27968781710407886,0.8153213064669822,0.8895977361833992,0.3807337798722247,0.8929287822366914,0.9344467639314561,0.625364619239249,0.8263061238213537,0.9529570123060389,-0.4840721964043773,0.8830084517454934,0.8251850831539078,0.9462512645213798,-0.3679443637546704,0.8155802261332015
AMG,0.007487275910317956,0.38491591923856505,0.20679711364516182,-0.21871225299767563,-0.22883102067538347,-0.3614339070847132,-0.09391969736892697,-0.20993286525285673,-0.04396889799094896,0.5528437825195948,-0.050344795813917945,1.0,0.0019886851120854776,0.23449987558273694,0.1681983337829212,0.4301817402510647,-0.21100350673450793,-0.1273710050931726,-0.15192603694281945,0.5334372430472156,-0.00842632151438627,-0.328449038561224,0.1863524430268198,0.6849143240417127,-0.25785362403481393,0.051040627208530934,-0.2266477613535706,-0.3747528005430203,-0.3374402455061577,-0.2703179595648125,-0.24569092424128533,0.2491329895150547,-0.23340638061362207,0.730175361031673,0.04086703168636661,-0.09219717842562794,-0.33617665587906537,0.5590433387064101,0.3013477909827871,0.3675906572150726,0.037774900167149704,-0.01887613774901694,0.5252046948731719,-0.014841270720221303,0.005687131600010055,0.015035860659455879,0.1299024265853342,-0.020811358826089497,-0.20424148736418923,0.3194796134820376,-0.29967079420450515,0.1505095724386301,-0.021909062636141258,0.2608748457825503,0.578381443462502,0.6232469443654192,0.14462498707448,-0.24547874456766228,-0.5820017255425834,-0.019494806082635655,-0.00814621532362608,-0.25058713336873406,-0.2334688615444267,-0.15471229709494277,-0.352034773268871,-0.08602319786163769,0.13037511630429918,0.08620801048691915,0.5501703712029782,0.18426427288127864
AFL,0.9068991988982099,0.6918891835948723,0.8322253234530028,0.8743514536315581,0.8978037615910752,0.4440617449205312,0.915245384934738,0.8232628802096587,-0.03573078859300047,-0.3244542418849527,0.8587716976242845,0.0019886851120854776,1.0,0.6859704105237807,0.6879826621986473,0.1064735491110908,0.5436785995152703,0.891336322907553,0.8306197065200008,-0.21595072739963975,0.9217630324630207,0.8569345563902602,0.0467266732915106,0.06701565290473119,0.8444886489594312,0.8817171306710071,0.88382229879299,0.8987609765218598,0.7131122337978333,0.9027070253767677,0.8660505886710096,0.5470903107634881,0.7866314470547239,0.339072888088437,0.660868105044783,0.8792192808198864,0.8458530172388817,0.6885119858803825,0.2708166577084793,0.7879680481582516,0.6840346038775276,0.9047836086328366,-0.5714727574318182,0.8851478131348935,0.5711016244256254,0.8871685160224307,0.7992631933370165,0.9082624939848583,0.9040200945591444,-0.492975904041924,0.6665957902538377,0.7802000242211788,0.911241293507151,0.09306441378876171,0.1460064603774629,-0.3008865964529589,0.9226900294080838,0.8379254432417826,0.4416828345436968,0.8911758931982745,0.9129425648870676,0.38126233538333143,0.5643846031465674,0.922955924752511,-0.47619306796661426,0.7063599786352616,0.8397735537761506,0.8415575532361722,-0.11544537365575044,0.8278581570719609
A,0.5100548866533196,0.4187556341350439,0.5099005307602268,0.3961834744965929,0.5156802367723331,-0.19128845176275552,0.5630673028756713,0.6682265036316816,-0.494130492221309,0.16101255439483353,0.3915285820321853,0.23449987558273694,0.6859704105237807,1.0,0.20083363619281006,-0.18354263392623082,-0.011661792404099957,0.7616237018708134,0.35641811616516184,-0.26763465549912085,0.6930436292375953,0.38022813754576207,-0.35407753138574055,0.01673844405026422,0.3885908374184037,0.5304495858013801,0.5048232337214615,0.6290496854668918,0.14481198705124854,0.48590109838938406,0.44612895075329745,0.2156100311901807,0.32432006910368244,0.6797006429021099,0.19942288235864558,0.5260678890587324,0.3552698182381167,0.5766027454009731,-0.20368677226890114,0.6689670905232106,0.15198517136997466,0.5238186085569534,-0.04023740812361155,0.5284546737944554,0.034831144182807264,0.6174314064670373,0.3936712789928148,0.4996468551660544,0.42713331153065337,0.10882572367367835,0.08598335868851575,0.40036800677489087,0.7038473460002906,0.8723883094228104,0.0594789122134451,-0.0012071754842577366,0.7346759843312951,0.3937560978063872,0.12600241567111728,0.6487730668877507,0.536394373675321,-0.24705012807770274,-0.02618846902488449,0.5129360936628992,-0.4198151546594419,0.20974090289204736,0.6754618417787284,0.4502015985942981,0.4497469012573102,0.6273020539251332
APD,0.8643816817806097,0.7858316673118287,0.8152664775521846,0.7583034155009851,0.7006149344892161,0.7062444123507542,0.7588055975799157,0.4383205952158574,0.5482636489539866,-0.33098874841752884,0.8413320523502452,0.1681983337829212,0.6879826621986473,0.20083363619281006,1.0,0.6010600985828701,0.7625979480246381,0.4633883434217639,0.8161245917249362,0.3698026798042416,0.6373531091805239,0.7307514280387096,0.6325095115122078,0.4728279124608842,0.7836763742066555,0.8139509370175175,0.7360804414385286,0.5483031837207956,0.7946918647191553,0.6824507648479787,0.7638712305280997,0.8718607708060375,0.806343864009064,0.22009141332850493,0.8126485654879138,0.7772445229098824,0.7672650738750182,0.7417046721534177,0.7665818700319373,0.6753925133053024,0.9093055323517443,0.8220273565999388,-0.4925910792133621,0.734221415922712,0.7726812478040231,0.6162153845575062,0.8566941388815515,0.8408683350968224,0.7748218950484536,-0.6158273014988884,0.8105912601824462,0.8541227100931439,0.6625658492789486,0.580821874962192,0.5528158004496948,0.14197224151427745,0.6297823302754044,0.7505391411857755,0.26008257300840887,0.697537183660915,0.8108346897801816,0.7449180424565557,0.8131089686672052,0.7361494281096643,-0.44887325902110725,0.905384325134203,0.6157298102538591,0.8429078681141242,-0.3145544334758892,0.6793756164200914
AKAM,0.2838953444370813,0.43528356183458844,0.34737340199733013,0.19756476641184775,0.07795449862876068,0.389377482630471,0.18045476781456576,-0.037627513814760906,0.6953093664611225,0.05226872495736456,0.33019678970644256,0.4301817402510647,0.1064735491110908,-0.18354263392623082,0.6010600985828701,1.0,0.47128837082948766,-0.12305600771211336,0.29501159089891515,0.6179632253013198,0.04490860111748806,-0.11366707413811324,0.6622273053519233,0.7097049901888358,0.14270376177854827,0.261452955737614,0.1506056120042093,-0.3815498636144939,0.29723892306038063,0.09947323859186644,0.13123187972400452,0.6319417496060454,0.16876680807792385,0.250629956085804,0.5756482978127534,0.14834357699397066,0.12955977078257244,0.49060923516344085,0.729273275836776,0.2834250924472798,0.47330024150173855,0.28752522824861143,0.10377290170028705,0.2758598447169857,0.44189454257815064,0.06929014095349442,0.4212848041319407,0.2731669949153555,0.20738910367246008,-0.20407649035851333,0.328108174129095,0.4240888132412243,0.08369325159040562,0.5570478998523413,0.7263793228761358,0.3449040048634403,0.15905773897711273,0.21211349366774238,-0.13032816818118007,0.11841485970000622,0.2816471042309475,0.5646520895679505,0.35334924636091597,0.12824006139499006,-0.31666399077713975,0.42362049270328866,0.24594184938539188,0.40994590949932924,-0.20945803790266493,0.38952280857929006
ALK,0.7354293548191959,0.5604191629375435,0.5764364732122554,0.7574281779697694,0.7240992119642135,0.7994662725630999,0.7092264888024983,0.5416405840239105,0.6346825974610357,-0.6111966224969549,0.7927965518944284,-0.21100350673450793,0.5436785995152703,-0.011661792404099957,0.7625979480246381,0.47128837082948766,1.0,0.4138164124451514,0.7977579994329044,0.21866790729627206,0.5027832743479944,0.713741026595834,0.6504615756014342,0.3084963453298102,0.7553102962451181,0.70872330022741,0.7679948948881008,0.5812751212742457,0.9054433782248983,0.7204846935853092,0.7600836298669079,0.784943851011393,0.7763605070689605,-0.08741127272827148,0.8709815553270491,0.69209278175694,0.766640971011505,0.4795042569961957,0.710771419779975,0.4950413827461952,0.8290221441030726,0.740815824604285,-0.6859886129800093,0.731181449841942,0.8014177647031236,0.5316129567071328,0.7643602317816517,0.7747185213345151,0.7943703019186495,-0.776054376833395,0.8618532213941791,0.77373819851344,0.5643036056417069,-0.5646034182107919,0.29106850549915986,-0.22061937210935045,0.4873970115644784,0.8494339040466553,0.4222367872327995,0.6541444846771816,0.742655157959294,0.7917288812957429,0.8944513011464721,0.6886506525096839,0.5993899742052379,0.8670753562282769,0.5837887040643436,0.7913413950419569,-0.6529894062362902,0.6157706145116801
ALB,0.8067007448573464,0.5644370198625192,0.7130319148765493,0.7907543782746336,0.8506779228850536,0.20909642246711727,0.8564252212509526,0.9217661121368762,-0.2874582723452618,-0.30518200095336756,0.745968518315273,-0.1273710050931726,0.891336322907553,0.7616237018708134,0.4633883434217639,-0.12305600771211336,0.4138164124451514,1.0,0.7753608107779453,-0.43798074577466245,0.9024791929308238,0.818458588240297,-0.21821690721234593,-0.1668365336786975,0.7985511863328169,0.8291682992549928,0.8010541982550178,0.8621684020029199,0.6122186082313713,0.8339023869655435,0.8330528661392186,0.38746248413874224,0.7337546280806331,0.34332147959879605,0.4767026660642468,0.841744818471562,0.7833340799978908,0.579708072057192,0.0011711641436300414,0.6970664716185656,0.4989135189336992,0.8405712020650804,-0.4984912423633584,0.8587155054219382,0.4059049500398387,0.8494852738475479,0.6813593819093392,0.8150662294331789,0.8151773174623737,-0.3822410557773503,0.5870878217940153,0.6904188857212429,0.9438049737765911,-0.6332462334488255,0.0020055587406393295,-0.3541004764224172,0.9133078993507446,0.7355306048621386,0.5001125666528914,0.8988090574112616,0.8310074889270244,0.12557409920261878,0.4472608806798597,0.8492366780309897,-0.24592562660448591,0.5727567497749858,0.8350032977619057,0.7393386288961066,0.05526473595613078,0.7738716796376689
ARE,0.9374392522398816,0.7533177659838665,0.825110958761267,0.9291010185979531,0.9131939227986381,0.6384454216919248,0.921012419062466,0.7826398676583701,0.2665264458269942,-0.5271705144902781,0.9344024082356135,-0.15192603694281945,0.8306197065200008,0.35641811616516184,0.8161245917249362,0.29501159089891515,0.7977579994329044,0.7753608107779453,1.0,-0.06650438185933258,0.828750394251394,0.9323987601560851,0.3053073985377763,0.11395234832712645,0.9360753666453177,0.9331123580966706,0.8903033592386522,0.8582081925054185,0.9076397889210741,0.904200110878519,0.9341287079577081,0.725708545532921,0.9258507953357343,0.13055505699079575,0.7750105115715876,0.9412215902059539,0.9295893603002743,0.6565900745052689,0.5161597371620141,0.6914556980388423,0.856665557051713,0.9521707098079925,-0.6751930748356837,0.9238008466703096,0.7782015990427643,0.8151574008051061,0.8875332879484155,0.9355376384742468,0.9482222230661761,-0.7229967456003452,0.9306049183430595,0.9003087532986249,0.8774092332818005,-0.7175750992716546,0.25588734637225713,-0.23972740140551066,0.8239550530043667,0.8797522745326997,0.5209174006758847,0.895391609923103,0.913639273771095,0.6001831864135921,0.8488492229817931,0.9100192694016768,-0.49843126856488307,0.8986474739308296,0.7979443331659112,0.9150854803871836,-0.31934410264595,0.8017291890472914
ALXN,-0.004571897837948355,0.28506261500110797,0.1097379181353404,-0.15935917883185588,-0.19313042429789656,0.214676350700452,-0.12279467427818204,-0.4116024564164476,0.5980177296248431,0.17953781368299698,-0.0029789785044013833,0.5334372430472156,-0.21595072739963975,-0.26763465549912085,0.3698026798042416,0.6179632253013198,0.21866790729627206,-0.43798074577466245,-0.06650438185933258,1.0,-0.24460906809499536,-0.554908276712139,0.7752420009621831,0.8042982679058285,-0.12423930750377257,-0.027080536645106467,-0.1183998196544174,-0.755401397110795,-0.03137605531812088,-0.2550951769699928,-0.13177343943286496,0.5026675054850465,-0.03008467556113497,0.2610928751300738,0.29169842023569104,-0.0752720967935968,-0.17306854010465356,0.32446071825416073,0.6194719600135428,0.13644984647485497,0.31979058994121884,-0.05706056554391305,0.1774763358526878,-0.13608271067652378,0.2463346766019521,-0.24051313208083117,0.11919135340926618,0.009433909635209002,-0.15306867347298933,-0.05458186508662394,0.04263026558892223,0.1547728547525705,-0.22818335811494517,0.5357118698202656,0.6191919687416715,0.6574067448894908,-0.20419682350858592,-0.04156264400933277,-0.4668845950524813,-0.12651194900395293,-0.05345827966304124,0.2887932667185812,0.1756420492826704,-0.19580649465453304,0.47123001143543725,0.22641367063450982,-0.09826890956339412,0.0967300909334149,-0.08751233127441936,0.002042044319543342
