Date,Symbol,Close,High,Low,Open,Volume
2017-01-02,ABMD,112.68,112.68,112.68,112.68,0
2017-01-03,ABMD,112.36,114.4082,111.48,112.56,284401
2017-01-04,ABMD,115.74,115.97,112.32,113.02,336089
2017-01-05,ABMD,114.81,116.05,113.7,115.9,383035
2017-01-06,ABMD,115.42,115.9179,114.77,115.05,268868
2017-01-09,ABMD,117.11,117.71,114.67,115.62,338873
2017-01-10,ABMD,112.24,114.71,110.0,112.48,830602
2017-01-11,ABMD,111.27,112.95,109.83,112.35,492852
2017-01-12,ABMD,112.37,112.5,110.205,110.99,278757
2017-01-13,ABMD,115.67,115.73,112.22,112.87,371449
2017-01-16,ABMD,115.67,115.67,115.67,115.67,0
2017-01-17,ABMD,114.02,115.488,113.92,114.69,272142
2017-01-18,ABMD,113.27,114.82,112.91,114.82,235792
2017-01-19,ABMD,112.21,113.64,111.62,113.47,387372
2017-01-20,ABMD,111.84,112.3,110.8306,112.0,388409
2017-01-23,ABMD,111.57,112.6,110.26,111.6,367884
2017-01-24,ABMD,112.3,112.6,110.45,111.82,302975
2017-01-25,ABMD,114.82,115.68,113.2,113.43,404601
2017-01-26,ABMD,106.09,116.49,105.13,116.49,1243453
2017-01-27,ABMD,108.85,110.46,105.75,105.75,763795
2017-01-30,ABMD,106.15,108.01,105.38,108.0,574818
2017-01-31,ABMD,106.37,107.0,105.16,106.3,454160
2017-02-01,ABMD,105.59,106.76,104.9,106.28,467465
2017-02-02,ABMD,104.1,105.08,103.53,104.55,882904
2017-02-03,ABMD,104.96,105.93,103.82,104.85,734225
2017-02-06,ABMD,110.5,111.22,105.11,105.11,1240536
2017-02-07,ABMD,109.94,111.82,109.35,111.21,456084
2017-02-08,ABMD,108.73,110.38,108.42,109.9,271353
2017-02-09,ABMD,108.45,109.44,107.33,109.0,372849
2017-02-10,ABMD,108.64,109.0,107.65,108.36,576590
2017-02-13,ABMD,107.38,108.83,107.33,108.04,233693
2017-02-14,ABMD,108.96,109.48,107.6,107.6,362340
2017-02-15,ABMD,110.62,110.7,108.215,108.7,453680
2017-02-16,ABMD,114.25,114.4,110.61,110.98,725334
2017-02-17,ABMD,116.57,116.92,112.2,114.01,548470
2017-02-20,ABMD,116.57,116.57,116.57,116.57,0
2017-02-21,ABMD,117.81,118.16,116.29,117.15,430370
2017-02-22,ABMD,117.0,118.15,116.92,117.98,167751
2017-02-23,ABMD,116.89,117.22,114.3601,117.03,289271
2017-02-24,ABMD,117.14,117.5,114.2836,116.0,207216
2017-02-27,ABMD,117.94,118.84,116.545,117.36,716894
2017-02-28,ABMD,117.97,118.71,116.83,117.92,319617
2017-03-01,ABMD,121.29,121.83,118.02,119.16,417015
2017-03-02,ABMD,120.05,122.1764,119.8,121.75,319503
2017-03-03,ABMD,120.73,121.72,119.41,119.93,191501
2017-03-06,ABMD,119.79,120.29,118.0501,119.28,258573
2017-03-07,ABMD,120.03,120.75,118.6625,119.08,315651
2017-03-08,ABMD,120.13,121.06,119.55,120.28,207563
2017-03-09,ABMD,120.17,120.83,119.8,120.23,177796
2017-03-10,ABMD,121.21,121.34,119.77,120.51,222663
2017-03-13,ABMD,121.69,121.86,120.39,121.43,250883
2017-03-14,ABMD,120.53,122.22,120.25,122.22,164237
2017-03-15,ABMD,122.97,123.385,120.43,120.77,234999
2017-03-16,ABMD,122.91,123.2,121.84,123.0,138641
2017-03-17,ABMD,123.97,124.68,122.7573,123.17,412350
2017-03-20,ABMD,123.59,124.41,122.5201,123.97,172062
2017-03-21,ABMD,122.27,124.83,122.21,124.18,249388
2017-03-22,ABMD,123.47,123.66,121.86,122.36,232773
2017-03-23,ABMD,123.75,125.49,122.13,123.11,331623
2017-03-24,ABMD,124.89,125.995,124.17,124.17,180464
2017-03-27,ABMD,125.26,125.665,122.93,123.7,245891
2017-03-28,ABMD,125.05,125.55,124.07,124.82,345099
2017-03-29,ABMD,124.88,125.85,124.21,124.79,278875
2017-03-30,ABMD,125.0,126.035,124.57,125.0,267802
2017-03-31,ABMD,125.2,125.915,124.45,124.75,435487
2017-04-03,ABMD,125.05,125.58,123.71,125.23,320809
2017-04-04,ABMD,124.08,126.26,123.6,125.15,315229
2017-04-05,ABMD,123.4,125.31,123.28,124.75,295192
2017-04-06,ABMD,125.54,125.9,124.095,125.5,278644
2017-04-07,ABMD,125.49,126.06,124.69,124.97,156290
2017-04-10,ABMD,125.16,126.39,124.7601,125.4,172127
2017-04-11,ABMD,125.87,125.99,124.2977,124.89,167840
2017-04-12,ABMD,125.48,126.17,125.27,125.87,150936
2017-04-13,ABMD,124.61,125.81,124.27,125.16,144238
2017-04-14,ABMD,124.61,124.61,124.61,124.61,0
2017-04-17,ABMD,120.73,122.0,119.13,122.0,592725
2017-04-18,ABMD,121.17,121.44,117.365,120.44,232908
2017-04-19,ABMD,123.12,123.67,121.26,121.26,273714
2017-04-20,ABMD,125.21,125.9,122.6,123.43,234591
2017-04-21,ABMD,125.03,125.17,124.05,125.07,177820
2017-04-24,ABMD,129.25,130.43,126.19,126.19,384484
2017-04-25,ABMD,129.16,130.26,128.51,129.66,246519
2017-04-26,ABMD,130.08,130.785,129.4,130.04,177989
2017-04-27,ABMD,130.92,131.68,128.23,130.47,231925
2017-04-28,ABMD,130.32,131.68,129.8,131.26,221717
2017-05-01,ABMD,133.57,133.7,130.09,130.5,330386
2017-05-02,ABMD,134.28,134.82,133.695,134.3,280309
2017-05-03,ABMD,129.89,134.15,129.68,134.15,552012
2017-05-04,ABMD,130.81,130.89,123.6,127.71,846979
2017-05-05,ABMD,133.03,134.81,131.63,132.13,329944
2017-05-08,ABMD,130.78,133.97,130.02,132.3,350418
2017-05-09,ABMD,130.88,132.039,129.81,130.65,246945
2017-05-10,ABMD,131.8,131.825,129.83,130.63,166914
2017-05-11,ABMD,130.85,131.59,129.55,131.33,181572
2017-05-12,ABMD,131.42,131.97,130.28,130.28,181400
2017-05-15,ABMD,134.51,134.71,131.06,131.5,346432
2017-05-16,ABMD,133.84,133.99,132.03,133.64,337044
2017-05-17,ABMD,130.54,132.84,130.47,132.29,316260
2017-05-18,ABMD,133.24,133.88,129.8,129.96,508081
2017-05-19,ABMD,134.43,134.9099,132.63,134.0,236498
2017-05-22,ABMD,135.8,137.0,134.5,134.5,385183
2017-05-23,ABMD,134.74,136.625,134.55,136.62,224818
2017-05-24,ABMD,134.9,135.44,134.105,135.0,422290
2017-05-25,ABMD,135.88,136.735,134.39,135.33,282062
2017-05-26,ABMD,138.59,139.021,135.69,135.69,461131
2017-05-29,ABMD,138.59,138.59,138.59,138.59,0
2017-05-30,ABMD,139.72,140.62,138.2,138.2,400178
2017-05-31,ABMD,137.43,141.24,137.34,139.74,336098
2017-06-01,ABMD,141.0,141.86,137.45,137.45,318574
2017-06-02,ABMD,141.55,142.49,140.61,141.12,300771
2017-06-05,ABMD,141.81,142.95,140.85,141.98,153727
2017-06-06,ABMD,142.15,143.0,140.0,141.46,488723
2017-06-07,ABMD,142.06,142.9989,141.52,142.63,291161
2017-06-08,ABMD,142.84,143.75,141.59,143.0,609735
2017-06-09,ABMD,141.23,145.5799,139.79,143.28,346231
2017-06-12,ABMD,139.97,141.085,134.8,139.94,534058
2017-06-13,ABMD,140.65,141.79,139.62,140.43,352094
2017-06-14,ABMD,142.3,143.71,140.67,141.48,241812
2017-06-15,ABMD,142.88,143.29,140.288,141.01,215161
2017-06-16,ABMD,143.39,143.49,142.14,142.75,293856
2017-06-19,ABMD,145.94,146.32,143.85,144.17,175870
2017-06-20,ABMD,144.46,147.45,144.13,146.24,245271
2017-06-21,ABMD,145.5,146.0,143.541,144.49,170028
2017-06-22,ABMD,144.73,145.75,143.62,145.06,293761
2017-06-23,ABMD,144.49,145.58,144.29,144.98,259200
2017-06-26,ABMD,142.78,145.4,142.59,144.49,278431
2017-06-27,ABMD,140.47,142.72,139.65,142.72,318361
2017-06-28,ABMD,142.41,143.1,140.92,141.25,278714
2017-06-29,ABMD,140.24,142.39,139.49,142.39,218284
2017-06-30,ABMD,143.3,144.07,139.99,140.86,460611
2017-07-03,ABMD,142.29,145.5,141.48,144.82,140464
2017-07-04,ABMD,142.29,142.29,142.29,142.29,0
2017-07-05,ABMD,142.38,143.5,141.765,142.84,201400
2017-07-06,ABMD,139.96,143.19,139.55,141.37,248553
2017-07-07,ABMD,142.05,142.6,139.77,140.22,139908
2017-07-10,ABMD,141.15,142.47,140.0,142.12,298932
2017-07-11,ABMD,142.06,142.9,141.06,141.44,320140
