Date,Open,High,Low,Close,Adj Close,Volume
2018-04-13,68.120003,68.330002,66.980003,67.250000,67.250000,4300200
2018-04-16,67.809998,67.980003,67.059998,67.059998,67.059998,6484400
2018-04-17,67.370003,67.669998,67.279999,67.510002,67.510002,5605700
2018-04-18,67.529999,67.739998,66.160004,66.199997,66.199997,7384000
2018-04-19,66.029999,66.300003,64.989998,65.730003,65.730003,8274300
2018-04-20,65.750000,66.110001,65.449997,66.089996,66.089996,10402800
2018-04-23,66.000000,67.029999,65.949997,66.879997,66.879997,6338400
2018-04-24,67.309998,67.510002,66.720001,66.970001,66.970001,8176100
2018-04-25,66.839996,67.000000,66.250000,66.669998,66.669998,5188900
2018-04-26,66.779999,68.290001,66.639999,68.050003,68.050003,5355200
2018-04-27,68.470001,70.000000,68.449997,69.559998,69.559998,7814900
2018-04-30,69.580002,69.809998,68.389999,68.389999,68.389999,6484100
2018-05-01,67.980003,68.209999,67.029999,68.099998,68.099998,4957800
2018-05-02,68.040001,68.559998,67.480003,68.260002,68.260002,5752100
2018-05-03,67.800003,67.849998,66.639999,66.900002,66.900002,6155900
2018-05-04,66.839996,68.330002,66.800003,68.099998,68.099998,5132900
2018-05-07,68.059998,69.419998,68.059998,69.339996,69.339996,5041600
2018-05-08,69.199997,69.230003,68.199997,68.459999,68.459999,6534900
2018-05-09,68.419998,68.470001,67.010002,67.949997,67.949997,7956300
2018-05-10,68.139999,68.269997,67.330002,67.919998,67.919998,4965200
2018-05-11,68.029999,68.529999,67.910004,68.430000,68.430000,4141200
